id,latitude,longitude,name,ref,network,operator
2597749462,-34.5416249,-58.4700017,Plaza Lima,,,
2597749595,-34.5428684,-58.4724634,Ramallo y Cabildo,,,
2597749626,-34.5428996,-58.4724392,Ramallo y Cabildo,,,
2598476243,-34.5056449,-58.5085516,Díaz Vélez y España,,,
2598476250,-34.5066459,-58.5080392,Debenedetti y España,,,
2607223142,-34.5395848,-58.4750564,Puente Saavedra,,,
2607403053,-34.5406354,-58.4751655,San Isidro y Pico,,,
2607403082,-34.5406531,-58.4752187,San Isidro y Pico,,,
2607403123,-34.5397538,-58.4644218,Libertador y Correa,,,
2607403137,-34.5397914,-58.4645158,Libertador y Correa,,,
2607403140,-34.5541666,-58.4498614,Libertador y Blanco Encalada,,,
2607403141,-34.5542298,-58.4499274,Libertador y Blanco Encalada,,,
2608857413,-34.5450861,-58.4877422,Dot,,,
2608857414,-34.5451466,-58.4877008,Dot,,,
2608857415,-34.5441176,-58.4858985,Vedia y Superí,,,
2608857416,-34.5441732,-58.485862,Vedia y Superí,,,
2608857420,-34.5431584,-58.4840654,Vedia y Freire,,,
2608858372,-34.5432019,-58.4840338,Vedia y Freire,,,
2608858453,-34.5419142,-58.4809457,Vedia y Zapiola,,,
2608858513,-34.5419684,-58.4809234,Vedia y Zapiola,,,
2608988700,-34.539297,-58.4755739,Puente Saavedra,,,
2608988769,-34.538459,-58.4760865,Puente Saavedra,,,
2608988897,-34.5403964,-58.4803294,Platense,,,
2608988942,-34.5403439,-58.4803576,Platense,,,
2608988971,-34.5424018,-58.4841986,Ayacucho - Freire,,,
2608995134,-34.5394757,-58.4657523,Ramallo y 11 de Septiembre,,,
2609947364,-34.5595325,-58.4545555,Arcos y Mendoza,,,
2609947449,-34.5595155,-58.454519,Arcos y Mendoza,,,
2609947497,-34.5598606,-58.4557345,Cuba y Mendoza,,,
2609947592,-34.5598329,-58.4556835,Cuba y Mendoza,,,
2612252881,-34.5613496,-58.4552994,Plaza Belgrano,,,
2612252882,-34.5610803,-58.455033,Plaza Belgrano,,,
2612252883,-34.5611396,-58.4549335,Plaza Belgrano,,,
2612252884,-34.5609922,-58.4548839,Plaza Belgrano,,,
2612252885,-34.5610656,-58.4547865,Plaza Belgrano,,,
2613446450,-34.5584644,-58.4501572,Barrancas de Belgrano,,,
2613446451,-34.5588348,-58.4495352,Barrancas de Belgrano,,,
2614275316,-34.5385949,-58.4767178,Puente Saavedra,,,
2614275317,-34.5386441,-58.4766825,Puente Saavedra,,,
2620352924,-34.542765,-58.4429703,Pabellón 2,,,
2620452103,-34.542378,-58.4444721,Ciudad Universitaria,,,
2620563335,-34.6011477,-58.3816596,Teatro Colón,,,
2620563336,-34.6070497,-58.3813524,Juan D. Perón,,,
2620563338,-34.6182991,-58.3807888,Independencia,,,
2622650826,-34.5999202,-58.4517554,Honorio Pueyrredón,,,
2622650845,-34.6003074,-58.4523853,Honorio Pueyrredón,,,
2622731710,-34.6111979,-58.4676449,Boyacá,,,
2622736582,-34.6141697,-58.472486,Artigas,,,
2622736589,-34.6148228,-58.4728769,Artigas,,,
2622736598,-34.6114316,-58.4681437,Boyacá,,,
2622736599,-34.6218745,-58.4805692,Concordia,,,
2622736600,-34.6222239,-58.4810073,Concordia,,,
2622736601,-34.59458,-58.4440112,Corrientes,,,
2622736602,-34.5949307,-58.4445813,Corrientes,,,
2622736603,-34.6071793,-58.4624049,Donato Álvarez,,,
2622736604,-34.6075495,-58.4630072,Donato Álvarez,,,
2622736605,-34.5969338,-58.4474178,Murillo,,,
2622736606,-34.5972448,-58.4479214,Murillo,,,
2622736607,-34.6178312,-58.4758584,Nazca,,,
2622736608,-34.6183323,-58.4763304,Nazca,,,
2622736609,-34.6042585,-58.4581501,San Martín,,,
2622736610,-34.6047252,-58.4588339,San Martín,,,
2622737585,-34.5920966,-58.4404536,Aguirre,,,
2622737586,-34.5924139,-58.4409512,Aguirre,,,
2622737587,-34.5851855,-58.4344795,Honduras,,,
2622737588,-34.5855169,-58.4349856,Honduras,,,
2622738188,-34.5816732,-58.4298044,Guatemala,,,
2622738207,-34.582067,-58.4303011,Guatemala,,,
2624337386,-34.5454061,-58.439514,Pabellón 1,,,
2624337387,-34.5454059,-58.4395422,Pabellón 1,,,
2624337390,-34.6007894,-58.3816825,Teatro Colón,,,
2624337391,-34.6005155,-58.3818597,Teatro Colón,,,
2624337392,-34.6008663,-58.3818396,Teatro Colón,,,
2624337393,-34.6064211,-58.3815439,Juan D. Perón,,,
2624337394,-34.6134433,-58.3811885,Belgrano,,,
2624337395,-34.6140188,-58.380993,Belgrano,,,
